"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2016","608.34","620.59","620.59","604.27","5.44M","-1.39%"
"Apr 20, 2016","616.92","617.12","618.34","608.09","8.07M","0.40%"
"Apr 18, 2016","614.49","620.10","628.98","611.91","25.02M","5.63%"
"Apr 13, 2016","581.75","592.79","592.79","578.60","12.51M","-0.80%"
"Apr 12, 2016","586.46","585.62","592.76","584.68","5.84M","-0.14%"
"Apr 11, 2016","587.31","578.33","588.72","571.04","5.77M","1.56%"
"Apr 08, 2016","578.30","583.31","584.13","576.47","4.20M","-1.33%"
"Apr 07, 2016","586.12","599.46","599.46","582.89","5.66M","-1.60%"
"Apr 06, 2016","595.64","609.18","609.18","593.31","4.93M","-1.57%"
"Apr 05, 2016","605.12","616.13","616.28","602.24","4.79M","-1.92%"
"Apr 04, 2016","616.97","602.02","619.11","602.02","4.58M","3.17%"
"Apr 01, 2016","598.00","603.23","606.31","592.86","5.51M","-1.05%"
"Mar 31, 2016","604.37","600.38","610.13","595.44","18.00M","1.02%"
"Mar 30, 2016","598.25","594.10","600.25","593.09","5.76M","0.73%"
"Mar 29, 2016","593.93","594.80","604.67","591.10","7.00M","-0.63%"
"Mar 28, 2016","597.72","611.37","613.65","593.19","10.79M","-0.24%"
"Mar 23, 2016","599.16","590.33","600.60","586.41","6.33M","1.50%"
"Mar 22, 2016","590.31","590.95","592.32","581.40","7.10M","-0.41%"
"Mar 21, 2016","592.76","589.34","594.80","585.40","5.14M","0.12%"
"Mar 18, 2016","592.02","576.84","594.80","576.44","8.48M","2.72%"
"Mar 17, 2016","576.32","573.91","580.29","572.50","6.47M","0.81%"
"Mar 16, 2016","571.71","566.47","572.97","561.34","5.59M","1.59%"
"Mar 15, 2016","562.75","567.51","572.72","560.05","6.72M","-0.60%"
"Mar 14, 2016","566.12","568.51","572.60","564.78","4.17M","-0.16%"
"Mar 11, 2016","567.02","568.60","573.44","564.64","4.06M","0.04%"
"Mar 10, 2016","566.77","576.89","576.89","565.21","24.38M","-3.05%"
"Mar 09, 2016","584.63","568.01","587.23","566.99","6.31M","1.29%"
"Mar 08, 2016","577.16","576.94","590.58","569.20","7.62M","-0.61%"
"Mar 04, 2016","580.73","583.19","587.85","575.00","4.28M","0.12%"
"Mar 03, 2016","580.06","579.42","591.75","572.47","5.81M","1.15%"
"Mar 02, 2016","573.47","564.07","577.19","558.09","7.21M","2.72%"
"Mar 01, 2016","558.31","543.11","560.72","543.11","6.39M","3.82%"
"Feb 29, 2016","537.77","560.32","560.77","529.96","8.17M","-3.31%"
"Feb 26, 2016","556.18","555.68","561.56","553.62","4.24M","0.98%"
"Feb 25, 2016","550.80","558.29","560.87","546.23","4.48M","-1.34%"
"Feb 24, 2016","558.26","555.36","567.39","554.79","4.95M","0.13%"
"Feb 23, 2016","557.54","560.69","561.81","553.65","2.50M","-0.25%"
"Feb 22, 2016","558.91","561.06","562.53","552.66","3.86M","-0.05%"
"Feb 19, 2016","559.20","555.21","562.65","552.56","3.97M","0.34%"
"Feb 18, 2016","557.29","545.69","559.08","545.69","4.19M","2.33%"
"Feb 17, 2016","544.62","536.63","547.17","534.28","4.16M","1.73%"
"Feb 16, 2016","535.34","539.24","542.09","532.64","5.13M","-1.15%"
"Feb 15, 2016","541.59","543.83","545.79","539.04","5.09M","0.65%"
"Feb 12, 2016","538.07","543.06","547.87","529.32","7.41M","0.56%"
"Feb 11, 2016","535.09","551.14","552.13","531.37","5.21M","-2.70%"
"Feb 10, 2016","549.93","549.65","559.33","548.17","5.87M","0.08%"
"Feb 09, 2016","549.48","559.72","559.72","542.46","7.58M","-3.75%"
"Feb 08, 2016","570.89","577.31","581.50","567.41","4.22M","-2.03%"
"Feb 05, 2016","582.74","583.14","588.67","581.33","3.98M","-0.43%"
"Feb 04, 2016","585.25","575.48","592.79","575.48","5.55M","1.90%"
"Feb 03, 2016","574.31","579.32","583.34","571.85","5.25M","-1.52%"
